,cluster_id,momentum
BKU,2036,-0.015527950310559
ALV,223,0.0072369842298551
AMAT,451,0.0198019801980198
BY,1572,0.0044624746450305
EQT,111,0.0054249547920433
CSTE,1251,-0.1718213058419243
FFIV,1284,0.0087424814659393
BMA,2032,-0.0757722007722008
MUFG,1919,-0.0252454417952313
GEF,1196,-0.0695285010555946
GES,1110,0.035171102661597
NSTG,25,0.014344262295082
NTAP,2025,0.009140201394268
NTB,1538,-0.0235131396957123
NTCT,1339,-0.0154711673699016
NTES,2035,0.1023956723338486
NTGR,1781,-0.0044198895027625
NTLA,1791,0.0950958426686581
NTNX,1667,0.0095575221238937
NTR,1944,0.0613268192337361
AAIC,58,-0.0131147540983607
AAL,150,0.0087609511889863
AAN,1218,-0.1379790940766551
AAON,1088,0.0043975373790678
AAP,232,-0.0396661147902869
AAPL,7,-0.0101757004273793
AAT,1833,-0.0130796670630203
AAWW,1379,-0.0046622358892967
AB,1583,-0.0213697219361483
ABB,1707,0.0123123123123123
ABBV,1906,0.0031189083820661
ABC,62,-0.0042427359218307
ABCB,2038,-0.0190098182577814
ABR,1659,0.0190605854322669
ABT,29,0.0089461266220998
ACA,1317,0.0151815181518151
ACAD,1524,-0.0193330111164814
ACCO,1775,-0.0105820105820104
ACGLO,86,-0.0202464788732392
ACHC,1095,0.0033098882912701
ACIW,1709,0.0058027079303675
ACLS,1824,0.0049011980706394
ACM,1609,0.0225798981009726
ACMR,1585,-0.0134874759152215
ACN,74,-0.0010920730559217
ACRE,39,-0.0053050397877985
ACRS,1345,0.0128410914927767
ADBE,221,0.0294798580027781
ADC,224,-0.0040972025996044
ADI,1962,0.0061045402518122
ADM,1816,0.0121859296482411
ADNT,1518,0.0035112359550562
ADSK,1431,0.0122804368614424
ADT,58,0.0053050397877985
ADTN,1539,-0.0452722063037248
ADUS,1510,-0.0136229749631812
AEG,1758,-0.0058027079303675
AEIS,1687,0.0138590459819509
AEL,1341,0.0021608643457384
AEM,57,0.023680208559635
AEP,38,0.0002273502330338
AER,1993,0.0485265855221013
AEZS,1947,-0.0092307692307691
AFG,1568,0.0030571918574304
AFL,1577,-0.0086573734409391
AGCO,1978,0.0137064128968114
AGNC,191,-0.0294388224471019
AGO,1660,-0.0325268386476524
AGR,38,-0.0064053292339226
AGRO,1233,-0.0036945812807881
AGX,1514,0.0115800308800824
AGYS,1167,0.03453885621324
AHCO,1723,-0.0306441525953721
AHH,1117,0.0054602184087364
AHT,1392,-0.0282828282828283
AIG,225,-0.0176730486008835
AIMC,1713,0.0027628798959857
AIN,1043,-0.0154577883472056
AIRG,1725,0.0039421813403415
AIT,1820,-0.0063698726025481
AIV,1372,0.0306666666666666
AIZ,1727,-0.0124028573671403
AJG,472,0.0011777301927193
AJRD,1963,-0.0017749378771743
